,Year,Acres,Lat,Long,State
211383,1997,606945,61.9827,-157.0857,AK
1584948,2012,558198.3,42.391894,-117.893687,OR
1464986,2011,538049,33.60611111,-109.4497222,AZ
305739,2004,537627,65.2663,-146.8858,AK
1220334,2009,517078,64.7467,-149.5047,AK
153770,2002,499945,42.03888889,-123.9116667,OR
305838,2004,483280,66.3029,-149.8843,AK
352991,2006,479549,35.6678,-101.3708,TX
305796,2004,463994,63.8163,-143.819,AK
1583639,2012,461047,41.9733,-118.365,OR
7413,2006,427696,35.21666667,-100.9333333,TX
305737,2004,419884,65.7467,-152.2315,AK
305773,2004,403993,67.2071,-146.3702,AK
1065412,2007,367785,42.0369,-115.1089,ID
211329,1997,365871,63.566,-157.2024,AK
345263,2007,357185,38.5756,-112.9731,UT
306721,2009,349449.9,66.2236,-143.2572,AK
305775,2004,344833,66.9597,-145.346,AK
305780,2004,320155,64.0163,-142.0023,AK
1578216,2012,315578.8,40.6153,-120.1153,CA
1530279,2011,314444,30.84951667,-104.0460222,TX
1476631,2011,309200,30.72972,-82.36861,GA
211349,1997,308120,63.6327,-158.4191,AK
1222032,2010,306113,42.605,-115.5397,ID
1640425,2012,297845,33.344722,-108.710278,NM
305803,2004,284595,63.4497,-142.6689,AK
163839,2003,280059,32.98555556,-116.7275,CA
1572473,2012,275960,45.425,-114.59,ID
305817,2004,265919.9,64.4677,-157.1933,AK
297439,2002,259158.9,34.1084,-110.4859,AZ
305481,2002,257549,64.6403,-150.4502,AK
306465,2007,256734.1,69.0472,-150.8367,AK
1647249,2013,255858,37.86055556,-120.0830556,CA
1581411,2012,249562,45.66972,-106.46917,MT
1060018,2005,248310,33.97833333,-111.8227778,AZ
305994,2005,244599.7,66.7333,-148.0833,AK
305769,2004,243900,65.5169,-143.1724,AK
305767,2004,243254,65.983,-145.0525,AK
24842,2007,240207,34.77916667,-120.09,CA
334170,2006,238462.6,41.3603,-116.9144,NV
335850,2005,238058,37.2,-114.3831,NV
306130,2005,236701.5,66.4833,-142.2,AK
1644891,2013,234000,32.88888889,-107.8097222,NM
211634,1999,232828,66.7925,-142.2407,AK
306039,2005,231821.8,66.1642,-152.0142,AK
230521,1999,231389,40.5857,-118.499,NV
305507,2002,226833,62.3993,-158.8857,AK
1465539,2011,222954,31.81972222,-109.2111111,AZ
329264,2006,220042.1,42.9569,-113.2411,ID
654452,2008,220000,31.74216,-101.0438,TX
210738,1993,215360,65.8997,-143.6358,AK
305712,2004,214868.7,65.2782,-145.0594,AK
1579440,2012,210874,42.4533,-115.0253,ID
297440,2002,209704.1,34.1362,-110.7029,AZ
12847,2006,207115,45.53611111,-109.9347222,MT
224789,1996,206202.6,43.2171,-113.2342,ID
305848,2004,201894,65.713,-144.3547,AK
1648425,2013,201808.2,61.45,-155.68,AK
228098,1999,199288,40.1616,-116.0009,NV
26372,2007,197990,33.07444444,-116.7111111,CA
306142,2005,194015.2,64.9717,-156.2203,AK
305976,2005,193399.8,64.7894,-153.5347,AK
329399,2005,192846.1,42.6289,-115.5064,ID
366820,2003,192489,66.85,-147.2681,AK
372283,2007,191474,30.80277778,-82.2725,GA
306137,2005,191444.4,67.5333,-141.9833,AK
306033,2005,190942.3,66.7236,-150.5219,AK
305450,2002,189688,62.6994,-155.6523,AK
1572458,2012,181948,44.42972222,-115.1722222,ID
225358,1996,178459,43.0716,-114.0923,ID
45387,1992,177544,43.48,-115.6883333,ID
378192,2004,175815,64.33333999,-145.1667,AK
1530478,2011,175000,30.1635,-101.2471667,TX
24789,2007,174231,44.495,-115.6972222,ID
305961,2005,172320.8,67.1003,-150.2464,AK
132211,2000,172135,45.22166667,-114.495,ID
1220360,2010,171726.6,64.4592,-150.3244,AK
306773,2009,169638.7,65.9464,-146.8197,AK
335857,2005,168293,37.1033,-114.8417,NV
306066,2005,166438.6,65.7183,-147.4611,AK
306760,2009,164541.9,64.3689,-152.6886,AK
305311,2000,164387,64.7231,-151.1924,AK
306656,2009,164318,63.2,-153.27,AK
364710,2000,163884,46.57194444,-119.7727778,WA
305913,2004,163239,66.7329,-148.836,AK
27911,2008,162818,36.28111111,-121.6583333,CA
14839,2006,162702,34.63222222,-118.7697222,CA
1530307,2011,162625,32.98708333,-100.81845,TX
1584465,2012,160801,42.8186,-119.175,OR
41309,2009,160371,34.2425,-118.1888889,CA
1530302,2011,158308,31.80032466,-100.6141727,TX
175032,1999,158000,26.2337,-80.7665,FL
1648436,2013,157747.3,62.53,-156.77,AK
1505552,2011,156593,35.811667,-106.536667,NM
334378,2007,154973,41.7822,-114.1667,NV
305970,2005,154431.6,65.8042,-141.2422,AK
305521,2002,152962,62.8443,-158.351,AK
1581284,2012,152261.1,46.1614,-106.2111,MT
152481,2002,150696,35.87361111,-118.4580556,CA
334254,2006,150270.7,40.8258,-116.7203,NV
130424,2000,149772,45.15138889,-115.1858333,ID
